f-0     (initial-fact)
f-1     (robot 1 1 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 0)
f-2     (altura 5)
f-3     (anchura 5)
f-4     (almacen 2 3)
f-5     (puedeCoger 1 2 3)
f-6     (profundidadMax 19)
f-7     (robot 2 1 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 1)
f-8     (robot 1 2 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 1)
f-9     (robot 1 1 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 2)
f-10    (robot 3 1 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 2)
f-11    (robot 2 2 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 2)
f-12    (robot 1 3 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 2)
f-13    (robot 2 1 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 3)
f-14    (robot 1 2 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 3)
f-15    (robot 4 1 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 3)
f-16    (robot 3 2 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 3)
f-17    (robot 2 3 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 3)
f-18    (robot 1 4 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 3)
f-19    (robot 1 1 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 4)
f-20    (robot 3 1 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 4)
f-21    (robot 2 2 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 4)
f-22    (robot 1 3 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 4)
f-23    (robot 5 1 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 4)
f-24    (robot 4 2 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 4)
f-25    (robot 2 3 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 4)
f-26    (robot 2 3 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 4)
f-27    (robot 2 3 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 4)
f-28    (robot 2 4 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 4)
f-29    (robot 1 5 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 4)
f-30    (robot 2 1 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 5)
f-31    (robot 1 2 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 5)
f-32    (robot 4 1 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 5)
f-33    (robot 3 2 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 5)
f-34    (robot 2 3 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 5)
f-35    (robot 1 4 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 5)
f-36    (robot 1 3 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 5)
f-37    (robot 2 2 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 5)
f-38    (robot 2 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 5)
f-39    (robot 2 3 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 5)
f-40    (robot 1 3 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 5)
f-41    (robot 2 2 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 5)
f-42    (robot 2 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 5)
f-43    (robot 2 3 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 5)
f-44    (robot 1 3 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 5)
f-45    (robot 2 2 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 5)
f-46    (robot 2 4 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 5)
f-47    (robot 3 4 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 5)
f-48    (robot 2 5 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 5)
f-49    (robot 1 1 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 6)
f-50    (robot 3 1 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 6)
f-51    (robot 2 2 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 6)
f-52    (robot 1 3 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 6)
f-53    (robot 5 1 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 6)
f-54    (robot 4 2 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 6)
f-55    (robot 2 3 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 6)
f-56    (robot 2 3 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 6)
